"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Germany","DEU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Djibouti","DJI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.1","40.7","37.9","34.1","30.2","25.8","23.3","21.3","24.1","26.5","28.5","26.9","25.3","22.9","21.3","20.2","19.9","19.4","19","17.3","16.8","","",
"Dominica","DMA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8","4.1","4.6","4.8","5.2","4.8","4.5","4.1","4.2","4.2","4.2","4.1","4.7","5","5.6","5.6","6.1","6.4","6.8","7.1","6.7","","",
"Denmark","DNK","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Dominican Republic","DOM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.6","22.8","23.8","23.2","19.4","16.6","16.4","16.2","15.5","13.5","11.7","10.4","9.2","8.4","7.4","6.7","6","5.7","6.3","6.3","6.3","","",
"Algeria","DZA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1","7.4","7","7","6.7","6.4","5.9","5.6","5.1","4.3","3.7","3.1","2.9","2.7","2.6","2.6","2.6","2.5","2.5","2.5","2.5","","",
"East Asia & Pacific (excluding high income)","EAP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4615601222177","12.8374251319272","11.9991353948254","11.2955260818064","10.5129744889955","9.6383098030912","8.61855678393201","7.58707198562426","6.44279836301615","5.79837337158632","5.35623628093172","5.1016716035803","4.85636684428152","4.71541080380357","4.52415873624873","4.35351176055757","4.17575907545074","4.05821780526034","4.00651699667565","4.01251715433031","4.00474240305769","","",
"Early-demographic dividend","EAR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.4390073082413","17.9983119123491","18.440758403431","18.290527192063","17.6549490525668","16.3829251269442","15.1195485314562","14.358714554201","13.8410774289239","13.2924466319613","12.74060410825","12.271300034855","11.8938240928935","11.6461362583203","11.3827405411205","11.0990484393741","10.8000326109898","10.8679871338862","11.5996790638977","12.4649705086066","12.9174584477733","","",
"East Asia & Pacific","EAS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2679438628043","11.7224753016432","10.9801994545045","10.3578503061047","9.66693321907482","8.89100891153805","7.98659034958324","7.06757153113667","6.05414546403055","5.48983799589187","5.08504697552905","4.85290045888911","4.6324851882833","4.5050570304853","4.33349170415779","4.18132015759456","4.02166436824332","3.91460582126148","3.86579288192667","3.87847847869195","3.89609693075895","","",
"Europe & Central Asia (excluding high income)","ECA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.08522960709496","5.76834243085282","5.46812867957178","5.09301767413207","4.82084735197731","4.54332586398913","4.35795817669265","4.25498308982101","3.90383900613703","3.54685974866177","3.17330872957493","3.09877683460605","3.05467330822192","3.00438035685063","2.9498642079055","2.90412081555128","2.84851412429169","2.82573293840993","2.90122016260581","2.94643486120715","3.02818518507988","","",
